merged,name,lat,lon,Address,Municipality,Sale price
" Rolling Meadows Way, Camillus (town), New York","Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13022, United States",43.0431742,-76.3276483, Rolling Meadows Way,Camillus (town),52900
" Rolling Meadows Way, Camillus (town), New York","Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13022, United States",43.0431742,-76.3276483, Rolling Meadows Way,Camillus (town),52900
" Rolling Meadows Way, Camillus (town), New York","Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13022, United States",43.0431742,-76.3276483, Rolling Meadows Way,Camillus (town),52900
" Rolling Meadows Way, Camillus (town), New York","Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13022, United States",43.0431742,-76.3276483, Rolling Meadows Way,Camillus (town),52900
"4782 Appaloosa Trl, Clay, New York","4782, Appaloosa Trail, Town of Clay, Onondaga County, New York, 13041, United States",43.19062770913463,-76.18641158398434,4782 Appaloosa Trl,Clay,170000
" Heritage Cir, Solvay, New York","Heritage Circle, Village of Solvay, Town of Geddes, Onondaga County, New York, 13209, United States",43.050112,-76.201133, Heritage Cir,Solvay,32000
"10 Jennika Ln, Hastings, New York","Jennika Ln, Town of Hastings, Oswego County, New York, 13076, United States",43.333049,-76.139459,10 Jennika Ln,Hastings,6000
" Oneida River Rd, Schroeppel, New York","Oneida River Road, Town of Schroeppel, Oswego County, New York, 13132, United States",43.2159629,-76.240682, Oneida River Rd,Schroeppel,80000
" Oneida River Rd, Schroeppel, New York","Oneida River Road, Town of Schroeppel, Oswego County, New York, 13132, United States",43.2159629,-76.240682, Oneida River Rd,Schroeppel,7500
" Glen Haven Rd, Sempronius, New York","Glen Haven Road, Town of Sempronius, Town of Scott, Cortland County, New York, 13077, United States",42.759742,-76.2710777, Glen Haven Rd,Sempronius,210000
" Glen Haven Rd, Sempronius, New York","Glen Haven Road, Town of Sempronius, Town of Scott, Cortland County, New York, 13077, United States",42.759742,-76.2710777, Glen Haven Rd,Sempronius,164500
"16266 Ontario Shores Dr, Sterling, New York","16266, Ontario Shores Drive, Moon Beach, Town of Sterling, Cayuga County, New York, 13156, United States",43.4029169,-76.6384181,16266 Ontario Shores Dr,Sterling,30000
"4328 Outlook Dr, Onondaga, New York","4328, Outlook Drive, City of Syracuse, Onondaga County, New York, 13215, United States",42.981422,-76.1714758,4328 Outlook Dr,Onondaga,700000
" Hogs Back Rd, Hastings, New York","Hogs Back Road, Town of Hastings, Oswego County, New York, 13076, United States",43.355612,-76.147171, Hogs Back Rd,Hastings,2000
" Hogs Back Rd, Hastings, New York","Hogs Back Road, Town of Hastings, Oswego County, New York, 13076, United States",43.355612,-76.147171, Hogs Back Rd,Hastings,2000
"301 Lee Rd, New Haven, New York","301, Lee Road, Town of Mexico, Oswego County, New York, 13114, United States",43.4902425,-76.2983434281425,301 Lee Rd,New Haven,161000
"301 Lee Rd, New Haven, New York","301, Lee Road, Town of Mexico, Oswego County, New York, 13114, United States",43.4902425,-76.2983434281425,301 Lee Rd,New Haven,161000
"501 Montrose Ave, Solvay, New York","501, Montrose Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13219, United States",43.0443924,-76.1964618,501 Montrose Ave,Solvay,185000
"2629 Pine Grove Rd, Spafford, New York","2629, Pine Grove Road, Pine Grove, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.8446974,-76.3318906,2629 Pine Grove Rd,Spafford,399900
" Andrews Rd, Sterling, New York","Andrews Road, Town of Sterling, Cayuga County, New York, United States",43.355905,-76.62252, Andrews Rd,Sterling,225000
"116 Factory Ave, Salina, New York","116, Factory Avenue, Salina, City of Syracuse, Onondaga County, New York, 13208, United States",43.0898037,-76.1416943304092,116 Factory Ave,Salina,135000
"2865 Main St, Parish (village), New York","2865, East Main Street, Village of Parish, Town of Parish, Albion, Oswego County, New York, 13131, United States",43.40442,-76.11819699999998,2865 Main St,Parish (village),547
"407 Valley Rd, Richland, New York","407, Valley Road, Fernwood, Town of Richland, Oswego County, New York, 13142, United States",43.4941995,-76.15154004666545,407 Valley Rd,Richland,5247
" Great Bear Rd, Volney, New York","Great Bear Road, Town of Schroeppel, Town of Volney, Oswego County, New York, 13069, United States",43.261103,-76.362359, Great Bear Rd,Volney,34730
" Great Bear Rd, Volney, New York","Great Bear Road, Town of Schroeppel, Town of Volney, Oswego County, New York, 13069, United States",43.261103,-76.362359, Great Bear Rd,Volney,28140
" Great Bear Rd, Volney, New York","Great Bear Road, Town of Schroeppel, Town of Volney, Oswego County, New York, 13069, United States",43.261103,-76.362359, Great Bear Rd,Volney,6130
"315 Kingdom Rd, Volney, New York","315, Kingdom Road, Bundy Crossing, Town of Volney, Oswego County, New York, 13126, United States",43.3875363,-76.4394994,315 Kingdom Rd,Volney,5000
"121-123 First St, Fulton, New York","First Street, Ward 4, City of Gloversville, Fulton County, New York, 12078, United States",43.0498506,-74.3537276,121-123 First St,Fulton,20000
"1494 Griffin Rd, Throop, New York","1494, Griffin Road, City of Auburn, Cayuga County, New York, 13021, United States",42.9811855,-76.64125200000001,1494 Griffin Rd,Throop,309000
"3158 State Route 90, Ledyard, New York","State Route 90, Town of Genoa, Cayuga County, New York, 13081, United States",42.678297,-76.653167,3158 State Route 90,Ledyard,685000
"3158 State Route 90, Ledyard, New York","State Route 90, Town of Genoa, Cayuga County, New York, 13081, United States",42.678297,-76.653167,3158 State Route 90,Ledyard,550000
"12595 Ira Station Rd, Victory, New York","12595, Ira Station Road, Town of Victory, Cayuga County, New York, 13111, United States",43.224843,-76.60291430508474,12595 Ira Station Rd,Victory,108000
"12595 Ira Station Rd, Victory, New York","12595, Ira Station Road, Town of Victory, Cayuga County, New York, 13111, United States",43.224843,-76.60291430508474,12595 Ira Station Rd,Victory,80000
"689 W Genesee Rd, Lysander, New York","689, West Genesee Road, Plainville, Town of Lysander, Onondaga County, New York, 13027, United States",43.1598176,-76.4559224,689 W Genesee Rd,Lysander,159000
"31 Oneida View Dr, Schroeppel, New York","31, Oneida View Drive, Town of Schroeppel, Oswego County, New York, 13132, United States",43.2287966,-76.2070685,31 Oneida View Dr,Schroeppel,225000
" Pork St, Skaneateles (town), New York","Pork Street, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.930703,-76.373056, Pork St,Skaneateles (town),51000
"310-12 Buckingham Ave, Syracuse, New York","Buckingham Avenue, University Neighborhood, Dewitt, Onondaga County, New York, 13210, United States",43.0301962,-76.1211465,310-12 Buckingham Ave,Syracuse,30000
"1206 Carbon St, Syracuse, New York","1206, Carbon Street, Washington Square, City of Syracuse, Onondaga County, New York, 13208, United States",43.0721133,-76.1623786,1206 Carbon St,Syracuse,18000
"57 Hong Kong Rd, Albion, New York","57, Hong Kong Road, Town of Parish, Town of Albion, Oswego County, New York, 13131, United States",43.4634603,-76.1049214,57 Hong Kong Rd,Albion,15000
"61.5 First St, Fulton, New York","First Street, Ward 4, City of Gloversville, Fulton County, New York, 12078, United States",43.0498506,-74.3537276,61.5 First St,Fulton,500
"93 Bridge St, Phoenix, New York","93, Bridge Street, Village of Phoenix, Town of Schroeppel, Oswego County, New York, 13135, United States",43.233176,-76.29393350000001,93 Bridge St,Phoenix,4500
" Capitol St, Auburn, New York","Capitol Street, City of Auburn, Aurelius, Cayuga County, New York, 13021, United States",42.937766,-76.538854, Capitol St,Auburn,4400
" Brooks Rd, Genoa, New York","Brooks Road, Atwaters, Town of Genoa, Cayuga County, New York, 13081, United States",42.630308,-76.641149, Brooks Rd,Genoa,135000
"9439, 9441 Skaneateles Turnpike, Brookfield, New York","9439, Skaneateles Turnpike, West Brookfield, Town of Brookfield, Madison County, New York, 13355, United States",42.8135685,-75.38432,"9439, 9441 Skaneateles Turnpike",Brookfield,329000
"8921 Lake Rd, Lenox, New York","8921, Lake Road, Oneida Valley, Town of Verona, Town of Lenox, Madison County, New York, 13032, United States",43.1543413552819,-75.72080786515373,8921 Lake Rd,Lenox,20000
" Route 316, Lenox, New York","Old Route 5, Town of Sullivan, Lenox, Madison County, New York, 13037, United States",43.056832,-75.829519, Route 316,Lenox,20000
" Lafayette Rd, LaFayette, New York","Lafayette Road, Town of Onondaga, Onondaga County, New York, 13205, United States",42.97684,-76.1106326, Lafayette Rd,LaFayette,112500
" Silver Street Rd, Fleming, New York","Silver Street Road, Town of Fleming, Scipio, Cayuga County, New York, 13021, United States",42.880764,-76.562639, Silver Street Rd,Fleming,18000
"1023 Emery St, Fulton, New York","1023, Emery Street, City of Fulton, Oswego County, New York, 13069, United States",43.325408,-76.398836,1023 Emery St,Fulton,1000
"6 Anna St, Auburn, New York","6, Anna Street, City of Auburn, Aurelius, Cayuga County, New York, 13021, United States",42.9273642,-76.5500713,6 Anna St,Auburn,9200
" Ontario Ave, Cicero, New York","Ontario Avenue, Lower South Bay, Town of Cicero, Onondaga County, New York, 13039, United States",43.198459,-76.058976, Ontario Ave,Cicero,2000
"3792 Harke Ln, Clay, New York","3792, Harke Lane, Town of Clay, Onondaga County, New York, 13090, United States",43.191713528107385,-76.24590089338666,3792 Harke Ln,Clay,45000
" Otisco Rd., Otisco, New York","Otisco Road, Rice Grove, Town of Otisco, Onondaga County, New York, 13159, United States",42.861784,-76.203204, Otisco Rd.,Otisco,5577
"114-16 Lafayette Ave, Syracuse, New York","West Lafayette Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.0189991,-76.1487379,114-16 Lafayette Ave,Syracuse,37000
"310 Wilkinson St, Syracuse, New York","310, Wilkinson Street, Westside, City of Syracuse, Onondaga County, New York, 13204, United States",43.0510924,-76.1651907,310 Wilkinson St,Syracuse,5000
"1410-12 Colvin St W, Syracuse, New York","West Colvin Street, Brighton, City of Syracuse, Onondaga County, New York, 13207, United States",43.024536,-76.149369,1410-12 Colvin St W,Syracuse,976
"164 Shaker Heights, Camillus (town), New York","164, Shaker Heights Drive, Windcrest Park, Town of Camillus, Onondaga County, New York, 13031, United States",43.0411538,-76.29565,164 Shaker Heights,Camillus (town),364900
"164 Shaker Heights, Camillus (town), New York","164, Shaker Heights Drive, Windcrest Park, Town of Camillus, Onondaga County, New York, 13031, United States",43.0411538,-76.29565,164 Shaker Heights,Camillus (town),54900
"3860 Hallston Dr, Clay, New York","3860, Hallston Drive, Town of Clay, Onondaga County, New York, 13090, United States",43.19186518367347,-76.2435408367347,3860 Hallston Dr,Clay,45000
"366 Little John Dr, Redfield, New York","366, Little John Drive, Greenboro, Town of Redfield, Oswego County, New York, 13437, United States",43.6468659,-75.8560332,366 Little John Dr,Redfield,26000
" Robinson Rd, Throop, New York","Robinson Road, Sawyers Corner, Town of Throop, Cayuga County, New York, United States",42.9795083,-76.5962716, Robinson Rd,Throop,85000
" W Hill Road, Madison (town), New York","West Hill Road, Town of DeRuyter, Madison County, New York, 13122, United States",42.805445,-75.895473, W Hill Road,Madison (town),36000
" Maplehurst Rd, Cicero, New York","Maplehurst Road, Town of Cicero, Onondaga County, New York, 13039, United States",43.182979,-76.011005, Maplehurst Rd,Cicero,23000
"200 Lyncourt Dr, Salina, New York","200, Lyncourt Drive, Lyncourt, City of Syracuse, Onondaga County, New York, 13208, United States",43.0821352,-76.1301638167042,200 Lyncourt Dr,Salina,245000
"188 White Rd, Parish (town), New York","188, White Road, Town of Parish, Town of Hastings, Oswego County, New York, 13131, United States",43.3876615,-76.11127089872582,188 White Rd,Parish (town),240191
"998 Carpenter Rd, Ledyard, New York","998, Carpenter Road, Town of Ledyard, Venice, Cayuga County, New York, 13026, United States",42.7238256,-76.6755047,998 Carpenter Rd,Ledyard,30000
" Terry Rd, Geddes, New York","South Terry Road, Westvale, Town of Geddes, Onondaga County, New York, 13219, United States",43.038589,-76.219996, Terry Rd,Geddes,55000
" Terry Rd, Geddes, New York","South Terry Road, Westvale, Town of Geddes, Onondaga County, New York, 13219, United States",43.038589,-76.219996, Terry Rd,Geddes,50000
" Terry Rd, Geddes, New York","South Terry Road, Westvale, Town of Geddes, Onondaga County, New York, 13219, United States",43.038589,-76.219996, Terry Rd,Geddes,45000
" Terry Rd, Geddes, New York","South Terry Road, Westvale, Town of Geddes, Onondaga County, New York, 13219, United States",43.038589,-76.219996, Terry Rd,Geddes,25000
"115 Bridge St, Phoenix, New York","115, Bridge Street, Village of Phoenix, Town of Schroeppel, Oswego County, New York, 13135, United States",43.23367874348202,-76.29245941794554,115 Bridge St,Phoenix,65000
"845 Poplar Ridge Rd, Ledyard, New York","845, Poplar Ridge Road, Poplar Ridge, Village of Aurora, Town of Ledyard, Town of Venice, Cayuga County, New York, 13026, United States",42.7371345,-76.6829955,845 Poplar Ridge Rd,Ledyard,332500
" Smith Ridge Rd., Sullivan, New York","Smith Ridge Road, Eaton Corners, Town of Sullivan, Lenox, Madison County, New York, 13030, United States",43.138253,-75.905795, Smith Ridge Rd.,Sullivan,36000
" Smith Ridge Rd., Sullivan, New York","Smith Ridge Road, Eaton Corners, Town of Sullivan, Lenox, Madison County, New York, 13030, United States",43.138253,-75.905795, Smith Ridge Rd.,Sullivan,70000
"4536 Hollyshire Way, Clay, New York","Hollyshire Way, Town of Clay, Onondaga County, New York, 13041, United States",43.2024673,-76.1991162,4536 Hollyshire Way,Clay,585475
"406 Fayette St, Manlius (village), New York","406, Fayette Street, Village of Manlius, Town of Manlius, Onondaga County, New York, 13104, United States",43.0065264,-75.98474932969702,406 Fayette St,Manlius (village),572779
"418 Swansea Ave, Salina, New York","418, Swansea Avenue, Lyncourt, City of Syracuse, Onondaga County, New York, 13206, United States",43.08031765,-76.11816357783104,418 Swansea Ave,Salina,270000
"721 Salina St, Syracuse, New York","721, Hillside Street, Lyncourt, City of Syracuse, Onondaga County, New York, 13208, United States",43.0810508,-76.1377162,721 Salina St,Syracuse,37500
" Water Street, Cayuga, New York","Water Street, Town of Locke, Venice, Cayuga County, New York, 13092, United States",42.660511,-76.431975, Water Street,Cayuga,292
"3797 Harke Ln, Clay, New York","3797, Harke Lane, Town of Clay, Onondaga County, New York, 13090, United States",43.191872765249606,-76.24604191118728,3797 Harke Ln,Clay,45000
"1712 North Rd, LaFayette, New York","1712, North Road, Town of Tully, Onondaga County, New York, 13159, United States",42.8571867,-76.1051754,1712 North Rd,LaFayette,420000
"105 Schuyler St, Oswego (city), New York","105, Schuyler Street, City of Fulton, Oswego County, New York, 13069, United States",43.32291361934031,-76.42273298953263,105 Schuyler St,Oswego (city),1000
"8178 Warners Rd, Lenox, New York","Warners Road, Village of Canastota, Town of Lenox, Madison County, New York, 13032, United States",43.109925,-75.761515,8178 Warners Rd,Lenox,189900
" Seneca Beach Drive, Van Buren, New York","Seneca Beach Drive, Town of Van Buren, Onondaga County, New York, 13027, United States",43.143827,-76.313567, Seneca Beach Drive,Van Buren,15000
"515-517 Buffalo St, Fulton, New York","Buffalo Street, City of Fulton, Oswego County, New York, 13069, United States",43.323048,-76.410242,515-517 Buffalo St,Fulton,500
"3670 Lysander Rd, Ira, New York","3670, Lysander Road, Town of Cato, Cayuga County, New York, 13033, United States",43.2134615,-76.4984815,3670 Lysander Rd,Ira,75000
" Walker Rd, Sennett, New York","Walker Road, Town of Sennett, Cayuga County, New York, 13021, United States",42.927496,-76.51983, Walker Rd,Sennett,40000
" Hamilton Rd, Elbridge (town), New York","Hamilton Road, Village of Jordan, Town of Elbridge, Onondaga County, New York, 13080, United States",43.045161,-76.470827, Hamilton Rd,Elbridge (town),22000
"3311 Apulia Rd, LaFayette, New York","3311, Apulia Road, Town of LaFayette, Onondaga County, New York, 13078, United States",42.9315902,-76.0648623,3311 Apulia Rd,LaFayette,20000
"410 Kenwick Dr, Salina, New York","410, Kenwick Drive, Northside, Lyncourt, City of Syracuse, Onondaga County, New York, 13208, United States",43.07975565,-76.13539193142151,410 Kenwick Dr,Salina,3200
"410 Kenwick Dr, Salina, New York","410, Kenwick Drive, Northside, Lyncourt, City of Syracuse, Onondaga County, New York, 13208, United States",43.07975565,-76.13539193142151,410 Kenwick Dr,Salina,118874
"9548 Clarecastle Path, Cicero, New York","9548, Clarecastle Path, Brewerton, Town of Cicero, Onondaga County, New York, 13029, United States",43.2302502,-76.1496107,9548 Clarecastle Path,Cicero,43500
" Curtain Rd, Tully (town), New York","Curtain Road, Town of Tully, Onondaga County, New York, 13159, United States",42.793414,-76.173187, Curtain Rd,Tully (town),142500
" Curtain Rd, Tully (town), New York","Curtain Road, Town of Tully, Onondaga County, New York, 13159, United States",42.793414,-76.173187, Curtain Rd,Tully (town),75000
"9468 Horseshoe Is Rd, Clay, New York","9468, Horseshoe Island Road, Town of Clay, Onondaga County, New York, 13041, United States",43.2291659,-76.2545287,9468 Horseshoe Is Rd,Clay,7501
"843 Crow Hill Rd, Skaneateles (town), New York","843, Crow Hill Road, Mottville, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.9748196,-76.4478596,843 Crow Hill Rd,Skaneateles (town),550000
"525 Middle Rd, Scriba, New York","525, Middle Road, Hammonds Corner, Town of Scriba, Oswego County, New York, 13126, United States",43.4765725,-76.4048505,525 Middle Rd,Scriba,95000
"302 Hitchcock Point Road, Sullivan, New York","302, Hitchcock Point Road, Town of Sullivan, Madison County, New York, 13030, United States",43.1717928,-75.9787961,302 Hitchcock Point Road,Sullivan,80000
"8961 Cazenovia Rd, Pompey, New York","8961, Cazenovia Road, Town of Manlius, Onondaga County, New York, 13104, United States",42.9653579,-75.9091411,8961 Cazenovia Rd,Pompey,65000
"108 Sinclair St, Skaneateles (village), New York","108, Sinclair Street, Village of Skaneateles, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.951093,-76.440101,108 Sinclair St,Skaneateles (village),305000
" Lincoln Knolls E., Lincoln, New York","Lincoln Knolls East, Town of Lincoln, Madison County, New York, 13032, United States",43.0527887,-75.7599722, Lincoln Knolls E.,Lincoln,25000
"227 Fairmount Ave, Salina, New York","227, Fairmount Avenue, Galeville, Town of Salina, Onondaga County, New York, 13088, United States",43.0892704,-76.1775897,227 Fairmount Ave,Salina,19000
" Jess Dr, Redfield, New York","Jess Drive, Town of Redfield, Oswego County, New York, United States",43.626128,-75.856348, Jess Dr,Redfield,30000
" Spring St, Hamilton (town), New York","Spring Street, Town of Hamilton, Madison County, New York, 13346, United States",42.823794,-75.530474, Spring St,Hamilton (town),75000
"1385 Co Rt 37, West Monroe, New York","County Rt 37, Brewerton, Town of West Monroe, Oswego County, New York, 13029, United States",43.24846,-76.130188,1385 Co Rt 37,West Monroe,120000
" Creek Rd, Sterling, New York","Creek Road, Town of Sterling, Cayuga County, New York, 13156, United States",43.344184,-76.680252, Creek Rd,Sterling,8000
" Creek Rd, Sterling, New York","Creek Road, Town of Sterling, Cayuga County, New York, 13156, United States",43.344184,-76.680252, Creek Rd,Sterling,8000
"6118 Lakeshore Rd, Cicero, New York","6118, Lakeshore Road, Lower South Bay, Town of Cicero, Onondaga County, New York, 13039, United States",43.1821382,-76.0980854,6118 Lakeshore Rd,Cicero,125000
"6118 Lakeshore Rd, Cicero, New York","6118, Lakeshore Road, Lower South Bay, Town of Cicero, Onondaga County, New York, 13039, United States",43.1821382,-76.0980854,6118 Lakeshore Rd,Cicero,161586
"708 North Rd, Tully (town), New York","708, North Road, Village of Tully, Town of Tully, Onondaga County, New York, 13159, United States",42.8061181,-76.1087214,708 North Rd,Tully (town),100000
"2968 Ditmar Rd, Cato (town), New York","2968, Ditmar Road, Village of Weedsport, Brutus, Cayuga County, New York, 13166, United States",43.077637,-76.54314167901234,2968 Ditmar Rd,Cato (town),20000
"9415 Woods Road, Sullivan, New York","9415, Woods Road, Town of Sullivan, Madison County, New York, 13030, United States",43.1743147,-75.9600508,9415 Woods Road,Sullivan,29000
"8865 Beach Rd, Cicero, New York","8865, Beach Road, Sandy Bay, Town of Cicero, Onondaga County, New York, 13029, United States",43.2000986,-76.0807313,8865 Beach Rd,Cicero,300
"88 Birmingham Dr, Amboy, New York","Birmingham Woods Drive, Town of Amboy, Oswego County, New York, 13028, United States",43.340554,-75.919217,88 Birmingham Dr,Amboy,13995
" Gale Rd, Cleveland, New York","Gale Road, Village of Cleveland, Town of Constantia, Oswego County, New York, 13042, United States",43.248522,-75.887597, Gale Rd,Cleveland,12000
"6718 Pottery Rd, Van Buren, New York","6718, Pottery Road, Garden Terrace, Town of Van Buren, Onondaga County, New York, 13164, United States",43.0995504,-76.289174,6718 Pottery Rd,Van Buren,250000
"102 Steven Terr, Geddes, New York","102, Steven Terrace, City of Syracuse, Town of Geddes, Onondaga County, New York, 13219, United States",43.0349829,-76.2204194,102 Steven Terr,Geddes,400000
" Mc Caw Rd, Redfield, New York","Mc Caw Road, Town of Redfield, Oswego County, New York, 13437, United States",43.509946,-75.795352, Mc Caw Rd,Redfield,35000
" Nottingham Rd, DeWitt, New York","Nottingham Road, Dewitt, Onondaga County, New York, 13210, United States",43.0224879,-76.1102599, Nottingham Rd,DeWitt,60000
"19 Fourth St, Fulton, New York","Fourth Street, Village of Northville, Town of Northampton, Fulton County, New York, 12134, United States",43.2273412,-74.1779346,19 Fourth St,Fulton,105000
"15 Chinook St, Pulaski, New York","15, Chinook Street, Village of Pulaski, Town of Richland, Albion, Oswego County, New York, 13142, United States",43.563124050476674,-76.13475834714139,15 Chinook St,Pulaski,20000
" Cleveland Road, Onondaga, New York","Cleveland Road, Onondaga Hill, Town of Onondaga, Onondaga County, New York, 13215, United States",42.978482,-76.17684, Cleveland Road,Onondaga,80000
" Cleveland Road, Onondaga, New York","Cleveland Road, Onondaga Hill, Town of Onondaga, Onondaga County, New York, 13215, United States",42.978482,-76.17684, Cleveland Road,Onondaga,70000
" Cleveland Road, Onondaga, New York","Cleveland Road, Onondaga Hill, Town of Onondaga, Onondaga County, New York, 13215, United States",42.978482,-76.17684, Cleveland Road,Onondaga,75000
" Cleveland Road, Onondaga, New York","Cleveland Road, Onondaga Hill, Town of Onondaga, Onondaga County, New York, 13215, United States",42.978482,-76.17684, Cleveland Road,Onondaga,75000
" Cleveland Road, Onondaga, New York","Cleveland Road, Onondaga Hill, Town of Onondaga, Onondaga County, New York, 13215, United States",42.978482,-76.17684, Cleveland Road,Onondaga,75000
" Cleveland Road, Onondaga, New York","Cleveland Road, Onondaga Hill, Town of Onondaga, Onondaga County, New York, 13215, United States",42.978482,-76.17684, Cleveland Road,Onondaga,75000
" Hessel Rd, Boylston, New York","Hessel Road, Town of Boylston, Oswego County, New York, United States",43.699612,-76.004384, Hessel Rd,Boylston,60000
"138 Campbell Rd, Salina, New York","138, Campbell Road, Hinsdale, Mattydale, City of Syracuse, Onondaga County, New York, 13211, United States",43.1022979,-76.1416162,138 Campbell Rd,Salina,150000
" Pople Ridge Rd, Mexico (town), New York","Pople Ridge Road, Wellwood, Town of Mexico, Oswego County, New York, United States",43.412997,-76.227484, Pople Ridge Rd,Mexico (town),17600
" Brook Trout Ln, Redfield, New York","Brook Trout Lane, Town of Redfield, Oswego County, New York, 13437, United States",43.5494288,-75.7667653, Brook Trout Ln,Redfield,50000
"753 Mc Donald Rd, Montezuma, New York","753, Mc Donald Road, Village of Port Byron, Mentz, Cayuga County, New York, 13140, United States",42.9969559,-76.6907262,753 Mc Donald Rd,Montezuma,180000
" Richardson Hill Rd, Sempronius, New York","Richardson Hill Road, Morse Mill, Town of Sempronius, Cayuga County, New York, 13118, United States",42.734852,-76.354056, Richardson Hill Rd,Sempronius,100000
" Whig Hill Rd, West Monroe, New York","Whig Hill Road, Whig Hill, Town of West Monroe, Oswego County, New York, 13167, United States",43.299313,-76.073155, Whig Hill Rd,West Monroe,15000
"128 Meirs Rd, Williamstown, New York","128, Meirs Road, Town of Williamstown, Oswego County, New York, 13493, United States",43.42934,-75.8503092443609,128 Meirs Rd,Williamstown,21000
" Perry Hill Rd, Oswego (town), New York","Perry Hill Road, Fruit Valley, Town of Oswego, Oswego County, New York, 13126, United States",43.431549,-76.571117, Perry Hill Rd,Oswego (town),1000
" Perry Hill Rd, Oswego (town), New York","Perry Hill Road, Fruit Valley, Town of Oswego, Oswego County, New York, 13126, United States",43.431549,-76.571117, Perry Hill Rd,Oswego (town),50000
" Wilson Point Rd, Sullivan, New York","Wilson Point Road, Oneida Lake Beach West, Town of Sullivan, Madison County, New York, United States",43.157159,-75.83553, Wilson Point Rd,Sullivan,55000
" Co Rt 45, Volney, New York","Oswego County Energy Recovery, Town of Volney, Oswego County, New York, United States",43.3492521,-76.42511226709469, Co Rt 45,Volney,1500
"5557 Rolling Meadows Way, Camillus (town), New York","5557, Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13031, United States",43.0414853,-76.3294511,5557 Rolling Meadows Way,Camillus (town),51900
"218 James St, Canastota, New York","218, James Street, Village of Canastota, Town of Lenox, Madison County, New York, 13032, United States",43.075695,-75.7574135,218 James St,Canastota,5500
"229 Canal St, Canastota, New York","Canal Street, Village of Canastota, Town of Lenox, Madison County, New York, 13032, United States",43.079488,-75.751948,229 Canal St,Canastota,4000
"4249 Canal Rd, Lenox, New York","4249, Canal Road, Village of Canastota, Town of Lenox, Madison County, New York, 13032, United States",43.0889237,-75.7129972,4249 Canal Rd,Lenox,5500
"6932 Guyder Rd, Lysander, New York","6932, Guyder Road, Jacks Reef, Town of Lysander, Onondaga County, New York, 13112, United States",43.1064835,-76.4285341,6932 Guyder Rd,Lysander,140000
" Central Ave, Minoa, New York","North Central Avenue, Village of Minoa, Town of Manlius, Onondaga County, New York, 13116, United States",43.074675,-76.003711, Central Ave,Minoa,17900
"14 Dylan Dr, Central Square, New York","14, Dylan Drive, Village of Central Square, Town of Hastings, Oswego County, New York, 13036, United States",43.3019538,-76.1444629,14 Dylan Dr,Central Square,350000
"5567 Rolling Meadows Way, Camillus (town), New York","5567, Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13031, United States",43.0424955,-76.3295393,5567 Rolling Meadows Way,Camillus (town),505500
"5567 Rolling Meadows Way, Camillus (town), New York","5567, Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13031, United States",43.0424955,-76.3295393,5567 Rolling Meadows Way,Camillus (town),51900
" Scenic Ave, Mexico (village), New York","Scenic Avenue, Village of Mexico, Town of Mexico, Oswego County, New York, 13114, United States",43.462675,-76.23201, Scenic Ave,Mexico (village),14000
" Smith Rd, Lebanon, New York","Smith Road, Town of Lebanon, Madison County, New York, 13332, United States",42.741031,-75.5753, Smith Rd,Lebanon,11000
"302 Champlin Rd, Summerhill, New York","302, Champlin Road, Town of Summerhill, Cayuga County, New York, 13073, United States",42.63242558736845,-76.29587044655001,302 Champlin Rd,Summerhill,255000
" Craine Lake Rd, Lebanon, New York","Craine Lake Road, Town of Lebanon, Madison County, New York, 13346, United States",42.758406,-75.556064, Craine Lake Rd,Lebanon,70000
"5569 Rolling Meadows Way, Camillus (town), New York","5569, Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13031, United States",43.0427375,-76.3295581,5569 Rolling Meadows Way,Camillus (town),436850
"5569 Rolling Meadows Way, Camillus (town), New York","5569, Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13031, United States",43.0427375,-76.3295581,5569 Rolling Meadows Way,Camillus (town),51900
" Darrow Ave, Solvay, New York","Darrow Avenue, Fairmount, Village of Solvay, Town of Geddes, Onondaga County, New York, 13209, United States",43.058071,-76.22587, Darrow Ave,Solvay,170000
" Swamp Rd, Sennett, New York","Swamp Road, Town of Sennett, Cayuga County, New York, United States",42.948932,-76.490828, Swamp Rd,Sennett,85000
"3383 Longview Terrace, Lysander, New York","Longview Terrace, Radisson, Town of Lysander, Onondaga County, New York, 13135, United States",43.2023512,-76.2840647,3383 Longview Terrace,Lysander,525000
"3424 Tall Tree Lane, Lysander, New York","Tall Tree Lane, Town of Lysander, Onondaga County, New York, 13027, United States",43.1604722,-76.2738393,3424 Tall Tree Lane,Lysander,403420
